replica,tamanho,algoritmo,localidad,tiempo
3,2,8_2,no,1.8581392765045166
3,2,16_2,no,1.8835117816925049
3,3,8_1,si,3.9334192276000977
3,3,8_2,si,4.268877983093262
3,3,16_2,si,4.360341310501099
3,3,8_1,no,3.9027857780456543
3,3,8_2,no,4.343172788619995
3,3,16_2,no,4.288617372512817
3,4,8_1,si,6.787533283233643
3,4,8_2,si,7.606968879699707
3,4,16_2,si,7.706019639968872
3,4,8_1,no,6.8415327072143555
3,4,8_2,no,7.628406524658203
3,4,16_2,no,7.669457197189331
4,1,8_1,si,0.40003252029418945
4,1,8_2,si,0.45248937606811523
4,1,16_2,si,0.4547309875488281
4,1,8_1,no,0.40230417251586914
4,1,8_2,no,0.45213866233825684
4,1,16_2,no,0.4577789306640625
4,2,8_1,si,1.6607191562652588
4,2,8_2,si,1.8586623668670654
4,2,16_2,si,1.8785207271575928
4,2,8_1,no,1.6572003364562988
4,2,8_2,no,1.858363151550293
4,2,16_2,no,1.8816349506378174
4,3,8_1,si,3.808598756790161
4,3,8_2,si,4.238710641860962
4,3,16_2,si,4.298711061477661
4,3,8_1,no,3.8016395568847656
4,3,8_2,no,4.254776954650879
4,3,16_2,no,4.3088459968566895
4,4,8_1,si,6.828806638717651
4,4,8_2,si,7.5913426876068115
4,4,16_2,si,7.600799798965454
4,4,8_1,no,6.825989723205566
4,4,8_2,no,7.571836709976196
4,4,16_2,no,7.701843738555908
5,1,8_1,si,0.41138172149658203
5,1,8_2,si,0.460986852645874
5,1,16_2,si,0.4627108573913574
5,1,8_1,no,0.40753674507141113
5,1,8_2,no,0.4657433032989502
5,1,16_2,no,0.46283912658691406
5,2,8_1,si,1.6651811599731445
5,2,8_2,si,1.8927068710327148
5,2,16_2,si,1.8753383159637451
5,2,8_1,no,1.6809723377227783
5,2,8_2,no,1.8616797924041748
5,2,16_2,no,1.8893325328826904
5,3,8_1,si,3.782930612564087
5,3,8_2,si,4.3568737506866455
5,3,16_2,si,4.316332578659058
5,3,8_1,no,3.834123373031616
5,3,8_2,no,4.337591648101807
5,3,16_2,no,4.397310972213745
5,4,8_1,si,6.754622220993042
5,4,8_2,si,7.755792856216431
5,4,16_2,si,7.674009799957275
5,4,8_1,no,6.811632871627808
5,4,8_2,no,7.639355897903442
5,4,16_2,no,7.738751173019409
6,1,8_1,si,0.40584564208984375
6,1,8_2,si,0.4534633159637451
6,1,16_2,si,0.47212743759155273
6,1,8_1,no,0.4114866256713867
6,1,8_2,no,0.4521911144256592
6,1,16_2,no,0.45711517333984375
6,2,8_1,si,1.663137435913086
6,2,8_2,si,1.9260334968566895
6,2,16_2,si,1.8693337440490723
6,2,8_1,no,1.7033541202545166
6,2,8_2,no,1.936070442199707
6,2,16_2,no,1.9015076160430908
6,3,8_1,si,3.8483200073242188
6,3,8_2,si,4.294058799743652
6,3,16_2,si,4.306595802307129
6,3,8_1,no,3.9654653072357178
6,3,8_2,no,4.289335489273071
6,3,16_2,no,4.336699962615967
6,4,8_1,si,6.821935653686523
6,4,8_2,si,7.654733896255493
6,4,16_2,si,7.644794702529907
6,4,8_1,no,6.84301233291626
6,4,8_2,no,7.617810964584351
6,4,16_2,no,7.723014831542969
7,1,8_1,si,0.4083850383758545
7,1,8_2,si,0.45232224464416504
7,1,16_2,si,0.4594564437866211
7,1,8_1,no,0.40441465377807617
7,1,8_2,no,0.4556713104248047
7,1,16_2,no,0.4594864845275879
7,2,8_1,si,1.6882987022399902
7,2,8_2,si,1.8984622955322266
7,2,16_2,si,1.8881373405456543
7,2,8_1,no,1.6744091510772705
7,2,8_2,no,1.8701746463775635
7,2,16_2,no,1.8995168209075928
7,3,8_1,si,3.802459239959717
7,3,8_2,si,4.279886484146118
7,3,16_2,si,4.309473276138306
7,3,8_1,no,3.805720329284668
7,3,8_2,no,4.267393589019775
7,3,16_2,no,4.317482233047485
7,4,8_1,si,6.815117359161377
7,4,8_2,si,7.646875381469727
7,4,16_2,si,7.739596128463745
7,4,8_1,no,6.91307258605957
7,4,8_2,no,7.638128995895386
7,4,16_2,no,7.68418288230896
8,1,8_1,si,0.40457916259765625
8,1,8_2,si,0.45262908935546875
8,1,16_2,si,0.45427727699279785
8,1,8_1,no,0.40784406661987305
8,1,8_2,no,0.48457956314086914
8,1,16_2,no,0.4593696594238281
8,2,8_1,si,1.6654269695281982
8,2,8_2,si,1.9114649295806885
8,2,16_2,si,1.9177453517913818
8,2,8_1,no,1.675715446472168
8,2,8_2,no,1.8627569675445557
8,2,16_2,no,1.8912177085876465
8,3,8_1,si,3.864631175994873
8,3,8_2,si,4.270620822906494
8,3,16_2,si,4.272039890289307
8,3,8_1,no,3.7853493690490723
8,3,8_2,no,4.254763603210449
8,3,16_2,no,4.300910949707031
8,4,8_1,si,6.733856439590454
8,4,8_2,si,7.518486738204956
8,4,16_2,si,7.5923542976379395
8,4,8_1,no,6.8887245655059814
8,4,8_2,no,7.610487699508667
8,4,16_2,no,7.702172517776489
9,1,8_1,si,0.40844297409057617
9,1,8_2,si,0.4542512893676758
9,1,16_2,si,0.458784818649292
9,1,8_1,no,0.40656352043151855
9,1,8_2,no,0.4563479423522949
9,1,16_2,no,0.46272897720336914
9,2,8_1,si,1.6518313884735107
9,2,8_2,si,1.9710519313812256
9,2,16_2,si,1.8679659366607666
9,2,8_1,no,1.6653892993927002
9,2,8_2,no,1.8681888580322266
9,2,16_2,no,1.9006385803222656
9,3,8_1,si,3.8995449542999268
9,3,8_2,si,4.378722429275513
9,3,16_2,si,4.303055286407471
9,3,8_1,no,3.82425856590271
9,3,8_2,no,4.278341054916382
9,3,16_2,no,4.324954271316528
9,4,8_1,si,6.819005727767944
9,4,8_2,si,7.576640844345093
9,4,16_2,si,7.65862774848938
9,4,8_1,no,6.834812164306641
9,4,8_2,no,7.6444411277771
9,4,16_2,no,7.701408624649048
10,1,8_1,si,0.40425825119018555
10,1,8_2,si,0.45291638374328613
10,1,16_2,si,0.45876336097717285
10,1,8_1,no,0.4052600860595703
10,1,8_2,no,0.45192813873291016
10,1,16_2,no,0.4502837657928467
10,2,8_1,si,1.6547398567199707
10,2,8_2,si,1.8625249862670898
10,2,16_2,si,1.8817875385284424
10,2,8_1,no,1.6763410568237305
10,2,8_2,no,1.890862226486206
10,2,16_2,no,1.8870439529418945
10,3,8_1,si,3.9146816730499268
10,3,8_2,si,4.352236270904541
