replica,tamanho,algoritmo,localidad,tiempo
25,4,8_2,no,12
25,4,16_2,no,20
26,1,8_1,si,0
26,1,8_2,si,0
26,1,16_2,si,0
26,1,8_1,no,0
26,1,8_2,no,4
26,1,16_2,no,0
26,2,8_1,si,4
26,2,8_2,si,0
26,2,16_2,si,4
26,2,8_1,no,4
26,2,8_2,no,4
26,2,16_2,no,4
26,3,8_1,si,4
26,3,8_2,si,4
26,3,16_2,si,8
26,3,8_1,no,8
26,3,8_2,no,4
26,3,16_2,no,12
26,4,8_1,si,8
26,4,8_2,si,12
26,4,16_2,si,16
26,4,8_1,no,12
26,4,8_2,no,8
26,4,16_2,no,24
27,1,8_1,si,0
27,1,8_2,si,0
27,1,16_2,si,0
27,1,8_1,no,0
27,1,8_2,no,0
27,1,16_2,no,4
27,2,8_1,si,4
27,2,8_2,si,0
27,2,16_2,si,4
27,2,8_1,no,4
27,2,8_2,no,0
27,2,16_2,no,8
27,3,8_1,si,0
27,3,8_2,si,8
27,3,16_2,si,8
27,3,8_1,no,4
27,3,8_2,no,8
27,3,16_2,no,12
27,4,8_1,si,8
27,4,8_2,si,12
27,4,16_2,si,16
27,4,8_1,no,12
27,4,8_2,no,12
27,4,16_2,no,20
28,1,8_1,si,0
28,1,8_2,si,0
28,1,16_2,si,0
28,1,8_1,no,0
28,1,8_2,no,4
28,1,16_2,no,0
28,2,8_1,si,4
28,2,8_2,si,0
28,2,16_2,si,4
28,2,8_1,no,4
28,2,8_2,no,4
28,2,16_2,no,4
28,3,8_1,si,4
28,3,8_2,si,4
28,3,16_2,si,8
28,3,8_1,no,8
28,3,8_2,no,4
28,3,16_2,no,12
28,4,8_1,si,12
28,4,8_2,si,8
28,4,16_2,si,20
28,4,8_1,no,8
28,4,8_2,no,12
28,4,16_2,no,24
29,1,8_1,si,0
29,1,8_2,si,4
29,1,16_2,si,0
29,1,8_1,no,0
29,1,8_2,no,0
29,1,16_2,no,0
29,2,8_1,si,4
29,2,8_2,si,0
29,2,16_2,si,4
29,2,8_1,no,4
29,2,8_2,no,0
29,2,16_2,no,8
29,3,8_1,si,4
29,3,8_2,si,8
29,3,16_2,si,8
29,3,8_1,no,4
29,3,8_2,no,8
29,3,16_2,no,12
29,4,8_1,si,12
29,4,8_2,si,8
29,4,16_2,si,20
29,4,8_1,no,8
29,4,8_2,no,12
29,4,16_2,no,20
30,1,8_1,si,0
30,1,8_2,si,0
30,1,16_2,si,0
30,1,8_1,no,4
30,1,8_2,no,0
30,1,16_2,no,0
30,2,8_1,si,4
30,2,8_2,si,0
30,2,16_2,si,4
30,2,8_1,no,4
30,2,8_2,no,4
30,2,16_2,no,4
30,3,8_1,si,4
30,3,8_2,si,4
30,3,16_2,si,8
30,3,8_1,no,8
30,3,8_2,no,4
30,3,16_2,no,12
30,4,8_1,si,8
30,4,8_2,si,12
30,4,16_2,si,16
30,4,8_1,no,8
30,4,8_2,no,12
30,4,16_2,no,24
31,1,8_1,si,0
31,1,8_2,si,0
31,1,16_2,si,4
31,1,8_1,no,0
31,1,8_2,no,0
31,1,16_2,no,0
31,2,8_1,si,0
31,2,8_2,si,4
31,2,16_2,si,4
31,2,8_1,no,0
31,2,8_2,no,4
31,2,16_2,no,4
31,3,8_1,si,4
31,3,8_2,si,4
31,3,16_2,si,12
31,3,8_1,no,4
31,3,8_2,no,4
31,3,16_2,no,12
31,4,8_1,si,8
31,4,8_2,si,12
31,4,16_2,si,16
31,4,8_1,no,12
31,4,8_2,no,12
31,4,16_2,no,24
32,1,8_1,si,0
32,1,8_2,si,0
32,1,16_2,si,0
32,1,8_1,no,0
32,1,8_2,no,0
32,1,16_2,no,4
32,2,8_1,si,4
32,2,8_2,si,0
32,2,16_2,si,4
32,2,8_1,no,4
32,2,8_2,no,4
32,2,16_2,no,4
32,3,8_1,si,4
32,3,8_2,si,4
32,3,16_2,si,8
32,3,8_1,no,8
32,3,8_2,no,4
32,3,16_2,no,12
32,4,8_1,si,4
32,4,8_2,si,12
32,4,16_2,si,16
32,4,8_1,no,12
32,4,8_2,no,12
32,4,16_2,no,20
33,1,8_1,si,0
33,1,8_2,si,0
33,1,16_2,si,0
33,1,8_1,no,0
33,1,8_2,no,0
33,1,16_2,no,4
33,2,8_1,si,4
33,2,8_2,si,0
33,2,16_2,si,4
33,2,8_1,no,4
33,2,8_2,no,0
33,2,16_2,no,8
33,3,8_1,si,4
33,3,8_2,si,8
33,3,16_2,si,8
33,3,8_1,no,4
33,3,8_2,no,8
33,3,16_2,no,12
33,4,8_1,si,12
33,4,8_2,si,12
33,4,16_2,si,20
33,4,8_1,no,12
33,4,8_2,no,12
33,4,16_2,no,20
34,1,8_1,si,0
34,1,8_2,si,0
34,1,16_2,si,4
34,1,8_1,no,0
34,1,8_2,no,0
34,1,16_2,no,0
34,2,8_1,si,4
34,2,8_2,si,0
34,2,16_2,si,8
34,2,8_1,no,0
34,2,8_2,no,4
34,2,16_2,no,4
34,3,8_1,si,4
34,3,8_2,si,4
34,3,16_2,si,12
34,3,8_1,no,4
34,3,8_2,no,8
34,3,16_2,no,12
34,4,8_1,si,12
34,4,8_2,si,11
34,4,16_2,si,16
34,4,8_1,no,16
34,4,8_2,no,12
34,4,16_2,no,20
35,1,8_1,si,0
35,1,8_2,si,0
35,1,16_2,si,0
35,1,8_1,no,0
35,1,8_2,no,4
35,1,16_2,no,0
35,2,8_1,si,4
35,2,8_2,si,0
35,2,16_2,si,8
35,2,8_1,no,0
35,2,8_2,no,4
35,2,16_2,no,4
35,3,8_1,si,4
35,3,8_2,si,4
35,3,16_2,si,12
35,3,8_1,no,4
35,3,8_2,no,4
35,3,16_2,no,12
35,4,8_1,si,12
35,4,8_2,si,12
35,4,16_2,si,28
35,4,8_1,no,8
35,4,8_2,no,12
35,4,16_2,no,20
36,1,8_1,si,0
36,1,8_2,si,0
36,1,16_2,si,0
36,1,8_1,no,0
36,1,8_2,no,4
36,1,16_2,no,0
36,2,8_1,si,4
36,2,8_2,si,0
36,2,16_2,si,4
36,2,8_1,no,4
36,2,8_2,no,4
36,2,16_2,no,4
36,3,8_1,si,4
36,3,8_2,si,8
36,3,16_2,si,8
36,3,8_1,no,4
36,3,8_2,no,8
36,3,16_2,no,12
36,4,8_1,si,8
36,4,8_2,si,12
36,4,16_2,si,16
36,4,8_1,no,12
36,4,8_2,no,8
36,4,16_2,no,24
37,1,8_1,si,0
37,1,8_2,si,0
37,1,16_2,si,0
37,1,8_1,no,0
37,1,8_2,no,0
37,1,16_2,no,4
37,2,8_1,si,0
37,2,8_2,si,4
37,2,16_2,si,4
37,2,8_1,no,4
37,2,8_2,no,0
37,2,16_2,no,8
37,3,8_1,si,4
37,3,8_2,si,8
37,3,16_2,si,8
37,3,8_1,no,4
37,3,8_2,no,8
37,3,16_2,no,12
37,4,8_1,si,12
37,4,8_2,si,8
37,4,16_2,si,20
37,4,8_1,no,12
37,4,8_2,no,8
37,4,16_2,no,24
38,1,8_1,si,0
38,1,8_2,si,4
38,1,16_2,si,0
38,1,8_1,no,0
38,1,8_2,no,0
38,1,16_2,no,0
38,2,8_1,si,0
38,2,8_2,si,4
38,2,16_2,si,4
38,2,8_1,no,0
38,2,8_2,no,4
38,2,16_2,no,4
38,3,8_1,si,4
38,3,8_2,si,4
38,3,16_2,si,12
38,3,8_1,no,9
38,3,8_2,no,12
38,3,16_2,no,16
38,4,8_1,si,13
38,4,8_2,si,11
38,4,16_2,si,16
38,4,8_1,no,8
38,4,8_2,no,12
38,4,16_2,no,20
39,1,8_1,si,0
39,1,8_2,si,0
39,1,16_2,si,0
39,1,8_1,no,4
39,1,8_2,no,0
39,1,16_2,no,0
39,2,8_1,si,0
39,2,8_2,si,4
39,2,16_2,si,4
39,2,8_1,no,0
39,2,8_2,no,4
39,2,16_2,no,4
39,3,8_1,si,4
39,3,8_2,si,4
39,3,16_2,si,8
39,3,8_1,no,8
39,3,8_2,no,4
39,3,16_2,no,12
39,4,8_1,si,8
39,4,8_2,si,12
39,4,16_2,si,16
39,4,8_1,no,12
39,4,8_2,no,12
39,4,16_2,no,20
40,1,8_1,si,0
40,1,8_2,si,0
40,1,16_2,si,4
40,1,8_1,no,0
40,1,8_2,no,0
40,1,16_2,no,0
40,2,8_1,si,0
40,2,8_2,si,4
40,2,16_2,si,4
40,2,8_1,no,0
40,2,8_2,no,4
40,2,16_2,no,4
40,3,8_1,si,4
40,3,8_2,si,4
40,3,16_2,si,8
40,3,8_1,no,8
40,3,8_2,no,4
40,3,16_2,no,12
40,4,8_1,si,12
40,4,8_2,si,16
40,4,16_2,si,24
40,4,8_1,no,12
40,4,8_2,no,12
40,4,16_2,no,24
41,1,8_1,si,0
41,1,8_2,si,0
41,1,16_2,si,4
41,1,8_1,no,0
41,1,8_2,no,0
41,1,16_2,no,0
41,2,8_1,si,0
41,2,8_2,si,4
41,2,16_2,si,4
41,2,8_1,no,0
41,2,8_2,no,4
41,2,16_2,no,4
41,3,8_1,si,4
41,3,8_2,si,4
41,3,16_2,si,8
41,3,8_1,no,8
41,3,8_2,no,4
41,3,16_2,no,12
41,4,8_1,si,4
41,4,8_2,si,12
41,4,16_2,si,20
41,4,8_1,no,12
41,4,8_2,no,8
41,4,16_2,no,24
42,1,8_1,si,4
42,1,8_2,si,0
42,1,16_2,si,0
42,1,8_1,no,0
42,1,8_2,no,0
42,1,16_2,no,4
42,2,8_1,si,0
42,2,8_2,si,4
42,2,16_2,si,4
42,2,8_1,no,0
42,2,8_2,no,4
42,2,16_2,no,8
42,3,8_1,si,4
42,3,8_2,si,8
42,3,16_2,si,12
42,3,8_1,no,4
42,3,8_2,no,8
42,3,16_2,no,12
42,4,8_1,si,8
42,4,8_2,si,8
42,4,16_2,si,16
42,4,8_1,no,12
42,4,8_2,no,12
42,4,16_2,no,20
43,1,8_1,si,0
43,1,8_2,si,0
43,1,16_2,si,4
43,1,8_1,no,0
43,1,8_2,no,0
43,1,16_2,no,0
43,2,8_1,si,0
43,2,8_2,si,4
43,2,16_2,si,4
43,2,8_1,no,0
43,2,8_2,no,4
43,2,16_2,no,4
43,3,8_1,si,4
43,3,8_2,si,4
43,3,16_2,si,12
43,3,8_1,no,4
43,3,8_2,no,8
43,3,16_2,no,12
43,4,8_1,si,8
43,4,8_2,si,8
43,4,16_2,si,20
43,4,8_1,no,8
43,4,8_2,no,12
43,4,16_2,no,20
44,1,8_1,si,0
44,1,8_2,si,0
